words,tf,idf,tfidf
plan,48.0,2.8627838013773363,137.41362246611212
flexible,33.0,3.258096538021482,107.5171857547089
research,28.0,3.4587672334836332,96.84548253754171
pack,27.0,3.258096538021482,87.96860652658
local,24.0,3.5765502691400166,85.8372064593604
light,24.0,3.3206168950028165,79.6948054800676
experience,18.0,3.864232341591797,69.55618214865235
travel,19.0,3.6191098835588127,68.76308778761744
time,15.0,4.189654742026425,62.84482113039638
flow,15.0,4.046553898385752,60.698308475786284
enjoy,13.0,4.189654742026425,54.46551164634353
open,13.0,3.982015377248181,51.76619990422636
relax,12.0,4.2696974496999625,51.23636939639954
stay,12.0,4.2696974496999625,51.23636939639954
eat,13.0,3.8101651203215217,49.53214656417978
afraid,11.0,4.356708826689592,47.92379709358551
bring,10.0,4.557379522151743,45.57379522151743
everything,10.0,4.4520190064939165,44.52019006493917
food,10.0,4.4520190064939165,44.52019006493917
fun,10.0,4.4520190064939165,44.52019006493917
